DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
131,PT. PRADANI SUMBER REJEKI,FG-PSR-00004,PT. PRADANI SUMBER REJEKI,KARTON BOX MP 550X360X300MM K125/M125X4 CBF,30,9600,288000,288000,KRT03574
132,PT. SAKATA NIMOTECH INDONESIA,FG-SNI-00005,PT. SAKATA NIMOTECH INDONESIA,KARTON BOX PRINTING,1110,6700,7437000,10108000,
133,PT. SAKATA NIMOTECH INDONESIA,FG-SNI-00008,,CARTON BOX KW UK.530X215X210 KMK 125 BC/F,400,5000,2000000,,KRT03496
134,PT. SAKATA NIMOTECH INDONESIA,FG-SNI-00028,,PARTISI INNER HOLE 25,50,2000,100000,,
135,PT. SAKATA NIMOTECH INDONESIA,FG-SNI-00029,,LAYER S/B NON KRESING,450,700,315000,,
136,PT. SAKATA NIMOTECH INDONESIA,FG-SNI-00032,,PARTISI OC13D 4 HOLE,160,1600,256000,,KRT03888
137,PT. SANOH INDONESIA,FG-SNH-00001,PT. SANOH INDONESIA,BOX 450 X 300 X 240 SNI 02,360,11439,4118040,99227180,KRT00040
138,PT. SANOH INDONESIA,FG-SNH-00002,,BOX 1050 X 260 X 115 SNI 03,315,15996,5038740,,KRT00028
139,PT. SANOH INDONESIA,FG-SNH-00003,,BOX 260 X 260 X 115 SNI 04,170,5487,932790,,KRT00033
140,PT. SANOH INDONESIA,FG-SNH-00004,,BOX 700 X 360 X 250 SNI 07,270,16926,4570020,,KRT00051
141,PT. SANOH INDONESIA,FG-SNH-00005,,BOX 735 X 255 X 200 SNI 09,255,14415,3675825,,KRT02925
