Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga, Pot.  , Total , PPN , Total Akhir ,No FP,Ket
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,4,KRT01218,CARTON BOX HOP TORQUE 305X305X216MM (PRINTING) K150/M125X3/K150 CBF,50.00,PCS,"7,100.00",0,"355,000.00"," 39,050.00 "," 394,050.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,5,KRT01221,CARTON BOX ISUZU P/N. 8974968572 UK: 375X280X175MM (K150/M125X3/K150 CB/F),150.00,SET,"13,063.00",0,"1,959,450.00"," 215,539.50 "," 2,174,989.50 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,6,KRT01301,CARTON BOX 1533660451 CARTON BOX : 375X280X175 MM,100.00,SET,"9,000.00",0,"900,000.00"," 99,000.00 "," 999,000.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,7,KRT02898,CARTON BOX 1533660412 375X280X175MM,150.00,SET,"10,000.00",0,"1,500,000.00"," 165,000.00 "," 1,665,000.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:46,008-CM-B-0126,0533/JL/CKRG/0226,8,KRT02725,CARTON BOX ME017116 355X355X97 MM (TANPA PARTISI),130.00,PCS,"7,300.00",0,"949,000.00"," 104,390.00 "," 1,053,390.00 ",04002600032833769,PO : 008-CM-B-0126 DO : DLV-2602033789 DLV-2512183162 DLV-2601283683
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:50,012-CM-B-0126,0534/JL/CKRG/0226,1,KRT02903,"CARTON BOX ""TAM"" UK 150X150X50MM K200.M125/K150 BF",400.00,SHEET,"1,500.00",0,"600,000.00"," 66,000.00 "," 666,000.00 ",04002600032833781,PO : 012-CM-B-0126 DO : DLV-2602033788
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:50,012-CM-B-0126,0534/JL/CKRG/0226,2,KRT02904,"CARTON BOX ""ADM"" UK 150X150X50MM K200.M125/K150 BF",400.00,PCS,"1,550.00",0,"620,000.00"," 68,200.00 "," 688,200.00 ",04002600032833781,PO : 012-CM-B-0126 DO : DLV-2602033788
PT. FUKOKU TOKAI RUBBER INDONESIA,2/3/2026 20:50,012-CM-B-0126,0534/JL/CKRG/0226,3,KRT02106,CARTON BOX TAM IMV 150X150X65 MM (K150/M125/K150/B/F),400.00,PCS,"1,400.00",0,"560,000.00"," 61,600.00 "," 621,600.00 ",04002600032833781,PO : 012-CM-B-0126 DO : DLV-2602033788
PT. YAMATOGOMU INDONESIA,2/4/2026 8:36,26010059,0476/JL/CKRG/0226,1,KRT00319,KARTON BOX NS-6,500.00,PCS,"18,695.00",0,"9,347,500.00",0," 9,347,500.00 ",,PO : 26010059                                DO : DLV-2602043804
PT. EHWA INDONESIA,2/4/2026 9:21,PO2501-034,0477/JL/CKRG/0226,1,KRT01279,OUT BOX BOSCH VA 7INCH IP 5PCS 257X238X47 (PM2095),"1,450.00",PCS,"3,973.00",0,"5,760,850.00",0," 5,760,850.00 ",,PO : PO2601-079                            DO : DLV-2602043805
PT. EHWA INDONESIA,2/4/2026 9:21,PO2501-034,0477/JL/CKRG/0226,2,KRT02889,"OUT BOX DIABLO 7"" IP 3PK PET 30% (PM2252)","1,000.00",PCS,"3,567.00",0,"3,567,000.00",0," 3,567,000.00 ",,PO : PO2601-079                            DO : DLV-2602043805
