Location From Description,Location From City,Location To Description,Location To City, Truck Type , Quoted Price ,
PABRIK WICA CIKARANG,CIKARANG,BOGOR,BOGOR, TRUCK BOX CDE ," Rp822,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BOGOR,BOGOR, TRUCK BOX KECIL (5-6 ," Rp920,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BOGOR,BOGOR, TRUCK BOX SEDANG (8- ," Rp1,587,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,BOGOR,BOGOR, WINGS BOX ," Rp2,200,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIBITUNG,BEKASI, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIBITUNG,BEKASI, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIBITUNG,BEKASI, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIBITUNG,BEKASI, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIBITUNG,BEKASI, WINGS BOX ," Rp1,900,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, GRAND MAX BOX ," Rp614,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX CDE ," Rp719,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX KECIL (5-6 ," Rp891,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, TRUCK BOX SEDANG (8- ," Rp1,524,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIKARANG,BEKASI, WINGS BOX ," Rp1,900,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIREBON,CIREBON, GRAND MAX BOX ," Rp1,437,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIREBON,CIREBON, TRUCK BOX CDE ," Rp1,610,000.00 ",
PABRIK WICA CIKARANG,CIKARANG,CIREBON,CIREBON, TRUCK BOX KECIL (5-6 ," Rp1,700,000.00 ",
