Nama Cust,Tanggal,No PO,No Inv,No.,Kode Item,Nama Item,Jml,Satuan,Harga,Pot. ,Total,PPN,Total Akhir,No FP,Ket
PT. KAWATA INDONESIA,46035.3910300926,KIPO26010086,0175/JL/CKRG/0126,4,TRM0099,BOLT (BAUT JP) M4XP.07XL50MM (GALVANIZED) (NB488-1),500,PCS,384,0,192000,21120,213120,04002600006045173,PO : KIPO26010086                       DO : 12308-130126
PT. KAWATA INDONESIA,46035.391099537,KIPO26010069,0176/JL/CKRG/0126,1,TRM0542,SPRING WASHER / RING PER M8 (S20C) (ZINC PLATED) (JH057),2000,PCS,69,0,138000,15180,153180,04002600006045125,PO : KIPO26010069                       DO : 12307-130126
PT. KAWATA INDONESIA,46035.391099537,KIPO26010069,0176/JL/CKRG/0126,2,TRM0350,FLAT WASHER / RING PLATE (S20C) M8 (ZINC PLATED) (JJ007),1000,PCS,69,0,69000,7590,76590,04002600006045125,PO : KIPO26010069                       DO : 12307-130126
PT. KAWATA INDONESIA,46035.391099537,KIPO26010069,0176/JL/CKRG/0126,3,TRM0161,FLAT WASHER / RING PLATE M6 (SUS304) (NB089-1),1000,PCS,247,0,247000,27170,274170,04002600006045125,PO : KIPO26010069                       DO : 12307-130126
PT. KAWATA INDONESIA,46035.391099537,KIPO26010069,0176/JL/CKRG/0126,4,TRM0591,SPRING WASHER / RING PER M6 (SUS304) (JH156),1000,PCS,247,0,247000,27170,274170,04002600006045125,PO : KIPO26010069                       DO : 12307-130126
PT. KAWATA INDONESIA,46035.391099537,KIPO26010069,0176/JL/CKRG/0126,5,TRM0590,SPRING WASHER / RING PER M4 (SUS304)  (NB829-1),2000,PCS,128,0,256000,28160,284160,04002600006045125,PO : KIPO26010069                       DO : 12307-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,1,TRM0040,KEYLESS CAM LOCK TYPE MS720 (CL005),100,PCS,32800,0,3280000,360800,3640800,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,2,TRM0030,EYE BOLT M12X1.75XL20MM MATERIAL CASTING (ZINC PLATED) (HF003-1),200,PCS,20295,0,4059000,446490,4505490,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,3,TRM0031,EYE BOLT M16X2.0XL20MM MATERIAL CASTING (ZINC PLATED) (HF004),100,PCS,31346,0,3134600,344806,3479406,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,4,TRM0041,KNOB STAR COLOR BLACK FOR FILTER CASE (M10) (IDR0015-6401),150,PCS,32000,0,4800000,528000,5328000,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,5,TRM0038,HINGE (ENGSEL PANEL) BLACK 40X40X9MM (IDR0015-6400),100,PCS,29000,0,2900000,319000,3219000,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.3947106482,KIPO26010094,0177/JL/CKRG/0126,6,TRM0037,HASP (LOCK DOOR HOPPER) TYPE PP-21-2 (SUS304) (DJ004),100,PCS,73500,0,7350000,808500,8158500,04002600006045220,PO : KIPO26010094                       DO : 12306-130126
PT. KAWATA INDONESIA,46035.4054861111,KIPO26010062,0179/JL/CKRG/0126,1,TRM4468,OBENG SHOCK M8 (NB314-5),1,PCS,132715,0,132715,14598.65,147313.65,04002600006045073,PO : KIPO26010062                      DO : 12305-130126
PT. KAWATA INDONESIA,46036.4013425926,KIPO26010062,0178/JL/CKRG/0126,1,TRM0057,PLYWOOD (KAYU TRIPLEK) L=240 W=120 T=9MM (NB019),90,LBR,113850,0,10246500,1127115,11373615,04002600006045207,PO : KIPO26010062                      DO : 12305-140126
PT. KAWATA INDONESIA,46036.4013425926,KIPO26010062,0178/JL/CKRG/0126,2,TRM0340,WAINSCOT (KAYU LIST) L=250 W=7 T=2 (NB018),620,BTG,12500,0,7750000,852500,8602500,04002600006045207,PO : KIPO26010062                      DO : 12305-140126
PT. KAWATA INDONESIA,46036.4013425926,KIPO26010062,0178/JL/CKRG/0126,3,TRM0004,BEAMWOOD (KAYU BALOK) L=150 W=8 T=5 (NB017),660,BTG,12500,0,8250000,907500,9157500,04002600006045207,PO : KIPO26010062                      DO : 12305-140126
PT. KAWATA INDONESIA,46036.4013425926,KIPO26010062,0178/JL/CKRG/0126,4,TRM0005,BEAMWOOD (KAYU BALOK) L=200 X W=8 X T=5 (NB1343),33,BTG,24000,0,792000,87120,879120,04002600006045207,PO : KIPO26010062                      DO : 12305-140126
PT. KAWATA INDONESIA,46037.4062268519,KIPO26010118,0221/JL/CKRG/0126,1,TRM0002,ACETONE (20LTR/TIN) (NB156),4,TIN,546000,0,2184000,240240,2424240,04002600008770824,PO : KIPO26010118                      DO : 12320-150126
